,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.0,Sun Jul 08 19:04:02 +0000 2018,1.0,0.0,0.0,1
1,-0.6908,Sun Jul 08 18:04:02 +0000 2018,0.561,0.439,0.0,2
2,0.5106,Sun Jul 08 17:32:05 +0000 2018,0.864,0.0,0.136,3
3,0.5994,Sun Jul 08 17:02:03 +0000 2018,0.794,0.0,0.206,4
4,0.0,Sun Jul 08 16:03:04 +0000 2018,1.0,0.0,0.0,5
5,0.0,Sun Jul 08 15:02:07 +0000 2018,1.0,0.0,0.0,6
6,-0.0258,Sun Jul 08 14:59:01 +0000 2018,0.774,0.114,0.111,7
7,0.0,Sun Jul 08 14:02:01 +0000 2018,1.0,0.0,0.0,8
8,0.4215,Sun Jul 08 13:08:43 +0000 2018,0.741,0.0,0.259,9
9,0.5574,Sun Jul 08 13:03:02 +0000 2018,0.714,0.0,0.286,10
10,0.5859,Sun Jul 08 12:06:07 +0000 2018,0.725,0.0,0.275,11
11,-0.2732,Sun Jul 08 11:03:07 +0000 2018,0.905,0.095,0.0,12
12,0.0,Sun Jul 08 10:02:04 +0000 2018,1.0,0.0,0.0,13
13,-0.25,Sun Jul 08 09:03:05 +0000 2018,0.794,0.123,0.083,14
14,-0.1531,Sun Jul 08 08:12:23 +0000 2018,0.853,0.085,0.062,15
15,0.765,Sun Jul 08 08:12:10 +0000 2018,0.777,0.0,0.223,16
16,0.0,Sun Jul 08 08:12:00 +0000 2018,1.0,0.0,0.0,17
17,0.826,Sun Jul 08 08:11:54 +0000 2018,0.566,0.0,0.434,18
18,-0.802,Sun Jul 08 08:11:03 +0000 2018,0.676,0.324,0.0,19
19,0.6696,Sun Jul 08 08:02:03 +0000 2018,0.572,0.0,0.428,20
20,0.0,Sat Jul 07 19:09:04 +0000 2018,1.0,0.0,0.0,21
21,0.3818,Sat Jul 07 18:05:03 +0000 2018,0.852,0.0,0.148,22
22,-0.6908,Sat Jul 07 17:05:04 +0000 2018,0.612,0.388,0.0,23
23,0.0,Sat Jul 07 16:03:07 +0000 2018,1.0,0.0,0.0,24
24,0.0,Sat Jul 07 16:01:37 +0000 2018,1.0,0.0,0.0,25
25,0.0,Sat Jul 07 15:55:59 +0000 2018,1.0,0.0,0.0,26
26,0.2462,Sat Jul 07 15:55:41 +0000 2018,0.914,0.0,0.086,27
27,0.4019,Sat Jul 07 15:08:04 +0000 2018,0.787,0.0,0.213,28
28,0.0,Sat Jul 07 13:57:03 +0000 2018,1.0,0.0,0.0,29
29,0.694,Sat Jul 07 13:14:05 +0000 2018,0.597,0.0,0.403,30
30,0.0,Sat Jul 07 12:51:07 +0000 2018,1.0,0.0,0.0,31
31,0.8516,Sat Jul 07 12:36:36 +0000 2018,0.617,0.0,0.383,32
32,0.7003,Sat Jul 07 12:36:04 +0000 2018,0.674,0.0,0.326,33
33,0.5719,Sat Jul 07 12:31:04 +0000 2018,0.812,0.0,0.188,34
34,0.2023,Sat Jul 07 12:02:02 +0000 2018,0.63,0.147,0.223,35
35,0.5719,Sat Jul 07 11:03:09 +0000 2018,0.812,0.0,0.188,36
36,0.0,Sat Jul 07 10:07:03 +0000 2018,1.0,0.0,0.0,37
37,0.0,Sat Jul 07 09:04:06 +0000 2018,1.0,0.0,0.0,38
38,-0.5526,Sat Jul 07 08:50:30 +0000 2018,0.656,0.251,0.093,39
39,-0.4019,Sat Jul 07 08:50:23 +0000 2018,0.773,0.15,0.077,40
40,-0.6486,Sat Jul 07 08:38:06 +0000 2018,0.699,0.301,0.0,41
41,-0.34,Sat Jul 07 08:03:06 +0000 2018,0.738,0.16,0.102,42
42,-0.3818,Sat Jul 07 07:04:07 +0000 2018,0.822,0.178,0.0,43
43,-0.357,Fri Jul 06 20:03:06 +0000 2018,0.885,0.115,0.0,44
44,0.0,Fri Jul 06 19:02:04 +0000 2018,1.0,0.0,0.0,45
45,-0.4019,Fri Jul 06 18:00:25 +0000 2018,0.597,0.403,0.0,46
46,0.0,Fri Jul 06 17:03:02 +0000 2018,1.0,0.0,0.0,47
47,0.0,Fri Jul 06 16:01:31 +0000 2018,1.0,0.0,0.0,48
48,0.0,Fri Jul 06 16:01:00 +0000 2018,1.0,0.0,0.0,49
49,0.4199,Fri Jul 06 14:35:02 +0000 2018,0.9,0.0,0.1,50
50,0.2023,Fri Jul 06 14:32:06 +0000 2018,0.769,0.096,0.135,51
51,0.0,Fri Jul 06 13:08:03 +0000 2018,1.0,0.0,0.0,52
52,-0.296,Fri Jul 06 13:04:04 +0000 2018,0.896,0.104,0.0,53
53,0.0,Fri Jul 06 12:00:19 +0000 2018,1.0,0.0,0.0,54
54,0.0,Fri Jul 06 11:02:07 +0000 2018,1.0,0.0,0.0,55
55,-0.1531,Fri Jul 06 09:11:30 +0000 2018,0.762,0.129,0.109,56
56,0.6114,Fri Jul 06 09:10:00 +0000 2018,0.834,0.0,0.166,57
57,0.0,Fri Jul 06 09:03:45 +0000 2018,1.0,0.0,0.0,58
58,0.0,Fri Jul 06 09:03:29 +0000 2018,1.0,0.0,0.0,59
59,0.7269,Fri Jul 06 09:03:13 +0000 2018,0.724,0.0,0.276,60
60,-0.2481,Fri Jul 06 09:02:44 +0000 2018,0.806,0.114,0.081,61
61,0.0516,Fri Jul 06 08:02:01 +0000 2018,0.43,0.28,0.29,62
62,0.0,Fri Jul 06 07:24:01 +0000 2018,1.0,0.0,0.0,63
63,0.0,Fri Jul 06 07:02:05 +0000 2018,1.0,0.0,0.0,64
64,0.5267,Thu Jul 05 19:03:03 +0000 2018,0.833,0.0,0.167,65
