,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,-0.5106,Sun Jul 08 20:00:16 +0000 2018,0.752,0.248,0.0,1
1,-0.0258,Sun Jul 08 19:45:03 +0000 2018,0.731,0.137,0.132,2
2,0.0,Sun Jul 08 19:30:16 +0000 2018,1.0,0.0,0.0,3
3,0.0,Sun Jul 08 19:15:05 +0000 2018,1.0,0.0,0.0,4
4,0.0,Sun Jul 08 19:00:11 +0000 2018,1.0,0.0,0.0,5
5,-0.0772,Sun Jul 08 18:45:06 +0000 2018,0.709,0.156,0.135,6
6,0.3182,Sun Jul 08 18:30:09 +0000 2018,0.874,0.0,0.126,7
7,0.0,Sun Jul 08 18:15:08 +0000 2018,1.0,0.0,0.0,8
8,-0.0258,Sun Jul 08 18:00:08 +0000 2018,0.729,0.138,0.134,9
9,0.5106,Sun Jul 08 17:45:08 +0000 2018,0.82,0.0,0.18,10
10,0.8126,Sun Jul 08 17:30:14 +0000 2018,0.607,0.0,0.393,11
11,0.6355,Sun Jul 08 17:15:08 +0000 2018,0.68,0.0,0.32,12
12,0.4019,Sun Jul 08 17:00:09 +0000 2018,0.863,0.0,0.137,13
13,-0.3818,Sun Jul 08 16:45:12 +0000 2018,0.794,0.206,0.0,14
14,0.3182,Sun Jul 08 16:30:12 +0000 2018,0.859,0.0,0.141,15
15,-0.8176,Sun Jul 08 16:15:09 +0000 2018,0.727,0.273,0.0,16
16,0.0,Sun Jul 08 16:00:08 +0000 2018,1.0,0.0,0.0,17
17,-0.1655,Sun Jul 08 15:45:04 +0000 2018,0.879,0.121,0.0,18
18,-0.4939,Sun Jul 08 15:30:08 +0000 2018,0.734,0.206,0.06,19
19,-0.7351,Sun Jul 08 15:19:00 +0000 2018,0.708,0.292,0.0,20
20,0.5106,Sun Jul 08 14:55:03 +0000 2018,0.82,0.0,0.18,21
21,0.0,Sun Jul 08 14:50:04 +0000 2018,1.0,0.0,0.0,22
22,0.4215,Sun Jul 08 14:45:39 +0000 2018,0.797,0.0,0.203,23
23,0.0,Sun Jul 08 14:16:59 +0000 2018,1.0,0.0,0.0,24
24,0.7162,Sun Jul 08 14:07:05 +0000 2018,0.731,0.0,0.269,25
25,-0.0572,Sun Jul 08 13:55:10 +0000 2018,0.807,0.101,0.091,26
26,-0.0572,Sun Jul 08 13:44:42 +0000 2018,0.807,0.101,0.091,27
27,0.4019,Sun Jul 08 13:36:15 +0000 2018,0.863,0.0,0.137,28
28,0.6705,Sun Jul 08 13:31:50 +0000 2018,0.732,0.0,0.268,29
29,0.0,Sun Jul 08 13:31:01 +0000 2018,1.0,0.0,0.0,30
30,0.5994,Sun Jul 08 13:16:00 +0000 2018,0.776,0.0,0.224,31
31,-0.5267,Sun Jul 08 12:54:46 +0000 2018,0.848,0.152,0.0,32
32,-0.5267,Sun Jul 08 12:43:00 +0000 2018,0.876,0.124,0.0,33
33,0.5106,Sun Jul 08 11:50:27 +0000 2018,0.87,0.0,0.13,34
34,0.6124,Sun Jul 08 11:39:43 +0000 2018,0.783,0.0,0.217,35
35,0.5106,Sun Jul 08 11:17:56 +0000 2018,0.864,0.0,0.136,36
36,-0.296,Sun Jul 08 10:56:06 +0000 2018,0.913,0.087,0.0,37
37,0.0,Sun Jul 08 10:28:23 +0000 2018,1.0,0.0,0.0,38
