,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.0,Sun Jul 08 20:02:42 +0000 2018,1.0,0.0,0.0,1
1,0.5267,Sun Jul 08 19:57:25 +0000 2018,0.841,0.0,0.159,2
2,-0.4019,Sun Jul 08 19:45:19 +0000 2018,0.863,0.137,0.0,3
3,-0.8271,Sun Jul 08 19:41:02 +0000 2018,0.535,0.465,0.0,4
4,0.875,Sun Jul 08 19:37:02 +0000 2018,0.583,0.0,0.417,5
5,-0.4404,Sun Jul 08 19:31:26 +0000 2018,0.838,0.162,0.0,6
6,0.0772,Sun Jul 08 19:30:33 +0000 2018,0.936,0.0,0.064,7
7,0.6369,Sun Jul 08 19:24:19 +0000 2018,0.819,0.0,0.181,8
8,0.4215,Sun Jul 08 19:20:59 +0000 2018,0.851,0.0,0.149,9
9,0.7906,Sun Jul 08 19:18:41 +0000 2018,0.72,0.0,0.28,10
10,0.3182,Sun Jul 08 19:17:30 +0000 2018,0.874,0.0,0.126,11
11,0.2975,Sun Jul 08 19:16:16 +0000 2018,0.777,0.082,0.141,12
12,0.7906,Sun Jul 08 19:14:30 +0000 2018,0.667,0.0,0.333,13
13,-0.4019,Sun Jul 08 19:11:15 +0000 2018,0.654,0.346,0.0,14
14,-0.4215,Sun Jul 08 19:07:44 +0000 2018,0.865,0.135,0.0,15
15,0.0,Sun Jul 08 19:03:56 +0000 2018,1.0,0.0,0.0,16
16,-0.4215,Sun Jul 08 19:02:07 +0000 2018,0.697,0.209,0.094,17
17,-0.5719,Sun Jul 08 19:00:52 +0000 2018,0.793,0.207,0.0,18
18,-0.5423,Sun Jul 08 18:56:30 +0000 2018,0.72,0.28,0.0,19
19,-0.5267,Sun Jul 08 18:55:18 +0000 2018,0.855,0.145,0.0,20
20,0.5719,Sun Jul 08 18:50:22 +0000 2018,0.737,0.0,0.263,21
21,0.0,Sun Jul 08 18:48:23 +0000 2018,1.0,0.0,0.0,22
22,-0.2732,Sun Jul 08 18:47:11 +0000 2018,0.7,0.152,0.148,23
23,0.0,Sun Jul 08 18:45:31 +0000 2018,1.0,0.0,0.0,24
24,0.4703,Sun Jul 08 18:43:55 +0000 2018,0.839,0.0,0.161,25
25,0.0,Sun Jul 08 18:38:00 +0000 2018,1.0,0.0,0.0,26
26,0.5106,Sun Jul 08 18:22:56 +0000 2018,0.837,0.0,0.163,27
27,-0.7884,Sun Jul 08 18:21:14 +0000 2018,0.501,0.499,0.0,28
28,0.3182,Sun Jul 08 18:08:40 +0000 2018,0.887,0.0,0.113,29
29,0.5106,Sun Jul 08 17:58:50 +0000 2018,0.845,0.0,0.155,30
30,0.5106,Sun Jul 08 17:55:05 +0000 2018,0.68,0.0,0.32,31
31,0.0,Sun Jul 08 17:53:20 +0000 2018,1.0,0.0,0.0,32
32,0.0,Sun Jul 08 17:46:57 +0000 2018,1.0,0.0,0.0,33
33,-0.4767,Sun Jul 08 17:35:42 +0000 2018,0.721,0.279,0.0,34
34,0.0,Sun Jul 08 17:33:06 +0000 2018,1.0,0.0,0.0,35
35,-0.5574,Sun Jul 08 17:32:09 +0000 2018,0.765,0.235,0.0,36
36,0.0,Sun Jul 08 17:29:58 +0000 2018,1.0,0.0,0.0,37
37,0.4927,Sun Jul 08 17:28:21 +0000 2018,0.862,0.0,0.138,38
38,0.3182,Sun Jul 08 17:25:23 +0000 2018,0.867,0.0,0.133,39
39,0.2023,Sun Jul 08 17:17:24 +0000 2018,0.795,0.0,0.205,40
40,0.7269,Sun Jul 08 17:10:00 +0000 2018,0.736,0.0,0.264,41
41,0.0,Sun Jul 08 17:05:00 +0000 2018,1.0,0.0,0.0,42
42,0.0191,Sun Jul 08 17:00:01 +0000 2018,0.858,0.069,0.073,43
43,0.2263,Sun Jul 08 16:48:45 +0000 2018,0.802,0.075,0.123,44
44,0.7534,Sun Jul 08 16:45:00 +0000 2018,0.669,0.0,0.331,45
45,-0.4019,Sun Jul 08 16:40:00 +0000 2018,0.709,0.291,0.0,46
46,0.4919,Sun Jul 08 16:35:00 +0000 2018,0.77,0.0,0.23,47
47,-0.5423,Sun Jul 08 16:30:01 +0000 2018,0.72,0.28,0.0,48
48,0.0941,Sun Jul 08 16:22:00 +0000 2018,0.859,0.062,0.079,49
49,0.5574,Sun Jul 08 16:20:00 +0000 2018,0.753,0.0,0.247,50
50,0.7783,Sun Jul 08 16:16:17 +0000 2018,0.688,0.0,0.312,51
51,0.1867,Sun Jul 08 16:10:00 +0000 2018,0.924,0.0,0.076,52
52,-0.5423,Sun Jul 08 16:05:42 +0000 2018,0.645,0.355,0.0,53
53,-0.4767,Sun Jul 08 15:50:02 +0000 2018,0.744,0.256,0.0,54
54,-0.25,Sun Jul 08 15:34:40 +0000 2018,0.846,0.154,0.0,55
55,-0.4939,Sun Jul 08 15:25:00 +0000 2018,0.789,0.211,0.0,56
56,0.128,Sun Jul 08 15:20:00 +0000 2018,0.914,0.0,0.086,57
57,-0.5574,Sun Jul 08 15:15:00 +0000 2018,0.714,0.286,0.0,58
58,0.6249,Sun Jul 08 15:06:54 +0000 2018,0.788,0.0,0.212,59
59,0.0,Sun Jul 08 15:06:44 +0000 2018,1.0,0.0,0.0,60
60,0.743,Sun Jul 08 15:06:25 +0000 2018,0.76,0.0,0.24,61
61,0.0,Sun Jul 08 15:06:18 +0000 2018,1.0,0.0,0.0,62
62,0.0498,Sun Jul 08 15:06:11 +0000 2018,0.682,0.136,0.182,63
63,0.4215,Sun Jul 08 14:42:38 +0000 2018,0.859,0.0,0.141,64
64,-0.3322,Sun Jul 08 14:38:28 +0000 2018,0.669,0.207,0.124,65
