,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,-0.204,Sun Jul 08 20:00:14 +0000 2018,0.731,0.15,0.119,1
1,0.0,Sun Jul 08 19:45:02 +0000 2018,1.0,0.0,0.0,2
2,0.397,Sun Jul 08 19:30:14 +0000 2018,0.83,0.0,0.17,3
3,-0.0418,Sun Jul 08 19:15:04 +0000 2018,0.677,0.165,0.158,4
4,-0.4717,Sun Jul 08 19:07:02 +0000 2018,0.797,0.203,0.0,5
5,-0.296,Sun Jul 08 19:00:09 +0000 2018,0.891,0.109,0.0,6
6,0.6808,Sun Jul 08 18:53:06 +0000 2018,0.728,0.0,0.272,7
7,0.0,Sun Jul 08 18:45:05 +0000 2018,0.805,0.119,0.076,8
8,0.0,Sun Jul 08 18:37:08 +0000 2018,1.0,0.0,0.0,9
9,0.3612,Sun Jul 08 18:30:05 +0000 2018,0.651,0.116,0.233,10
10,0.0,Sun Jul 08 18:15:07 +0000 2018,1.0,0.0,0.0,11
11,0.0,Sun Jul 08 18:00:05 +0000 2018,1.0,0.0,0.0,12
12,0.0,Sun Jul 08 17:45:05 +0000 2018,1.0,0.0,0.0,13
13,0.0,Sun Jul 08 17:30:12 +0000 2018,1.0,0.0,0.0,14
14,0.7096,Sun Jul 08 17:15:05 +0000 2018,0.699,0.0,0.301,15
15,0.3612,Sun Jul 08 17:00:07 +0000 2018,0.889,0.0,0.111,16
16,-0.5574,Sun Jul 08 16:30:09 +0000 2018,0.847,0.153,0.0,17
17,-0.5994,Sun Jul 08 16:15:07 +0000 2018,0.837,0.163,0.0,18
18,-0.5574,Sun Jul 08 16:00:04 +0000 2018,0.825,0.175,0.0,19
19,0.0,Sun Jul 08 15:45:04 +0000 2018,1.0,0.0,0.0,20
20,0.6369,Sun Jul 08 15:30:02 +0000 2018,0.588,0.0,0.412,21
21,-0.3818,Sun Jul 08 15:15:06 +0000 2018,0.885,0.115,0.0,22
22,-0.0516,Sun Jul 08 15:00:10 +0000 2018,0.752,0.128,0.12,23
23,0.8176,Sun Jul 08 14:45:03 +0000 2018,0.622,0.0,0.378,24
24,0.4767,Sun Jul 08 14:36:05 +0000 2018,0.71,0.077,0.213,25
25,0.4939,Sun Jul 08 14:30:03 +0000 2018,0.868,0.0,0.132,26
26,0.0772,Sun Jul 08 14:15:03 +0000 2018,0.933,0.0,0.067,27
27,0.0,Sun Jul 08 14:02:31 +0000 2018,1.0,0.0,0.0,28
28,0.25,Sun Jul 08 13:46:16 +0000 2018,0.895,0.0,0.105,29
29,-0.3612,Sun Jul 08 13:30:13 +0000 2018,0.872,0.128,0.0,30
30,0.2732,Sun Jul 08 13:00:08 +0000 2018,0.896,0.0,0.104,31
31,-0.1531,Sun Jul 08 12:44:31 +0000 2018,0.744,0.14,0.116,32
32,-0.6597,Sun Jul 08 12:30:05 +0000 2018,0.804,0.196,0.0,33
33,0.5574,Sun Jul 08 12:00:08 +0000 2018,0.833,0.0,0.167,34
34,0.5106,Sun Jul 08 11:30:06 +0000 2018,0.588,0.166,0.246,35
35,-0.128,Sun Jul 08 11:00:14 +0000 2018,0.933,0.067,0.0,36
36,-0.6597,Sun Jul 08 10:43:20 +0000 2018,0.577,0.423,0.0,37
37,0.0,Sun Jul 08 10:36:00 +0000 2018,1.0,0.0,0.0,38
38,0.0,Sun Jul 08 10:33:42 +0000 2018,1.0,0.0,0.0,39
39,-0.34,Sun Jul 08 10:30:10 +0000 2018,0.678,0.191,0.131,40
40,0.6908,Sun Jul 08 10:28:57 +0000 2018,0.424,0.145,0.43,41
41,0.0,Sun Jul 08 10:00:05 +0000 2018,1.0,0.0,0.0,42
42,-0.296,Sun Jul 08 09:31:49 +0000 2018,0.896,0.104,0.0,43
43,0.0,Sun Jul 08 09:14:26 +0000 2018,1.0,0.0,0.0,44
44,0.6297,Sun Jul 08 08:57:41 +0000 2018,0.719,0.074,0.207,45
45,0.6697,Sun Jul 08 08:39:11 +0000 2018,0.703,0.0,0.297,46
46,0.7096,Sun Jul 08 08:21:54 +0000 2018,0.67,0.0,0.33,47
47,0.5267,Sun Jul 08 08:04:19 +0000 2018,0.833,0.0,0.167,48
48,-0.8074,Sun Jul 08 07:47:00 +0000 2018,0.711,0.289,0.0,49
49,0.4019,Sun Jul 08 07:29:23 +0000 2018,0.87,0.0,0.13,50
50,0.3612,Sun Jul 08 07:12:01 +0000 2018,0.762,0.0,0.238,51
51,0.0,Sun Jul 08 06:54:30 +0000 2018,1.0,0.0,0.0,52
52,-0.2732,Sun Jul 08 06:37:17 +0000 2018,0.9,0.1,0.0,53
53,0.8074,Sun Jul 08 06:19:51 +0000 2018,0.644,0.0,0.356,54
54,-0.6705,Sun Jul 08 06:02:29 +0000 2018,0.769,0.231,0.0,55
55,0.0,Sun Jul 08 05:45:08 +0000 2018,1.0,0.0,0.0,56
56,0.2144,Sun Jul 08 05:27:12 +0000 2018,0.875,0.0,0.125,57
57,0.0,Sun Jul 08 05:08:52 +0000 2018,1.0,0.0,0.0,58
58,0.1779,Sun Jul 08 04:51:05 +0000 2018,0.797,0.088,0.116,59
59,0.3804,Sun Jul 08 04:32:45 +0000 2018,0.834,0.0,0.166,60
60,-0.5574,Sun Jul 08 04:15:53 +0000 2018,0.833,0.167,0.0,61
61,-0.1027,Sun Jul 08 03:56:53 +0000 2018,0.92,0.08,0.0,62
62,0.4767,Sun Jul 08 03:52:23 +0000 2018,0.586,0.142,0.272,63
63,0.4902,Sun Jul 08 03:39:13 +0000 2018,0.857,0.0,0.143,64
64,0.0,Sun Jul 08 03:23:00 +0000 2018,1.0,0.0,0.0,65
65,-0.8402,Sun Jul 08 03:15:23 +0000 2018,0.667,0.333,0.0,66
66,0.0,Sun Jul 08 02:57:22 +0000 2018,1.0,0.0,0.0,67
67,0.0,Sun Jul 08 02:39:19 +0000 2018,1.0,0.0,0.0,68
68,0.0,Sun Jul 08 02:20:49 +0000 2018,1.0,0.0,0.0,69
69,0.0,Sun Jul 08 02:04:52 +0000 2018,1.0,0.0,0.0,70
70,0.6249,Sun Jul 08 01:45:53 +0000 2018,0.843,0.0,0.157,71
71,0.6597,Sun Jul 08 01:26:49 +0000 2018,0.649,0.0,0.351,72
72,0.0,Sun Jul 08 01:09:06 +0000 2018,1.0,0.0,0.0,73
73,0.0,Sun Jul 08 00:51:27 +0000 2018,1.0,0.0,0.0,74
74,0.5574,Sun Jul 08 00:35:19 +0000 2018,0.735,0.0,0.265,75
75,0.4019,Sun Jul 08 00:24:43 +0000 2018,0.856,0.0,0.144,76
76,-0.7351,Sun Jul 08 00:05:59 +0000 2018,0.617,0.383,0.0,77
77,-0.2144,Sat Jul 07 23:53:47 +0000 2018,0.89,0.11,0.0,78
78,0.6875,Sat Jul 07 23:37:43 +0000 2018,0.779,0.0,0.221,79
79,0.4588,Sat Jul 07 23:20:13 +0000 2018,0.769,0.0,0.231,80
